"lemma","lemma_key","seed_class","revised_class","category_source","personhood_profile","anchor_recommendation","notes","anchor_bucket","prob_pronoun","prob_determinative","predicted_class","boundary_uncertainty","mean_jaccard_to_pronoun_anchors","mean_jaccard_to_determinative_anchors","distance_advantage_pronoun","nearest_pronoun_anchor","nearest_pronoun_distance","nearest_determinative_anchor","nearest_determinative_distance","mds1","mds2"
"a","a","determinative","determinative","matrix_clean_seed","not_core_pro_form","exclude","Outside the core pro-form inventory in the personhood paper.","excluded_item",0.319550129431987,0.680449870568013,"determinative",0.639100258863974,0.901063996563867,0.769298186390655,-0.131765810173212,"their_plur",0.847826086956522,"many_a",0.409090909090909,-0.272637708825064,0.0780773188738575
"a_certain","a_certain","determinative","determinative","matrix_clean_seed","not_core_pro_form","exclude","Outside the core pro-form inventory in the personhood paper.","excluded_item",0.323640773330057,0.676359226669943,"determinative",0.647281546660115,0.897377351386973,0.756384524991628,-0.140992826395345,"their_plur",0.847826086956522,"many_a",0.478260869565217,-0.281423756542748,0.0281800738732979
"a_few","a_few","determinative","determinative","matrix_clean_seed","not_core_pro_form","exclude","Outside the core pro-form inventory in the personhood paper.","excluded_item",0.307576142604549,0.692423857395451,"determinative",0.615152285209098,0.801522646066038,0.639214880935554,-0.162307765130484,"his",0.730769230769231,"several",0.333333333333333,-0.284048517870454,0.0672030895763441
"a_great_many","a_great_many","determinative","determinative","matrix_clean_seed","not_core_pro_form","exclude","Outside the core pro-form inventory in the personhood paper.","excluded_item",0.307627052653866,0.692372947346134,"determinative",0.615254105307732,0.816635212855422,0.646790365746217,-0.169844847109206,"themselves",0.755555555555556,"many",0.394736842105263,-0.301602684928132,0.0414342278201376
"a_little","a_little","determinative","determinative","matrix_clean_seed","non_personal_general","retain","","clear_determinative_anchor",0.298664876097635,0.701335123902365,"determinative",0.59732975219527,0.835806831893835,0.681039060280573,-0.154767771613262,"itself",0.727272727272727,"little",0.351351351351351,-0.291709757026097,-0.0990538580587471
"all","all","determinative","determinative","matrix_clean_seed","gender_neutral","retain","","clear_determinative_anchor",0.33024336840382,0.66975663159618,"determinative",0.66048673680764,0.752422389034681,0.653847291034216,-0.0985750980004649,"his",0.641509433962264,"any",0.395348837209302,-0.171908921331904,0.0335462573006325
"another","another","determinative","determinative","matrix_clean_seed","gender_neutral","retain","","clear_determinative_anchor",0.301255929457124,0.698744070542876,"determinative",0.602511858914249,0.807495265734121,0.661682175018767,-0.145813090715354,"oneself",0.738095238095238,"something",0.473684210526316,-0.259186610430318,-0.13473294739735
"any","any","determinative","determinative","matrix_clean_seed","gender_neutral","retain","","clear_determinative_anchor",0.320365671643531,0.679634328356469,"determinative",0.640731343287061,0.769165723280782,0.629337888825774,-0.139827834455007,"his",0.634615384615385,"some",0.365853658536585,-0.240871635856309,0.0279894120283589
"anybody","anybody","determinative","determinative","matrix_clean_seed","personal_epicene","retain","","clear_determinative_anchor",0.372373834060206,0.627626165939794,"determinative",0.744747668120412,0.756233032652842,0.697342146624018,-0.0588908860288241,"whosoever",0.58974358974359,"anyone",0.0714285714285714,-0.0988222426305506,-0.282163365495931
"anyone","anyone","determinative","determinative","matrix_clean_seed","personal_epicene","retain","","clear_determinative_anchor",0.377927189858041,0.622072810141959,"determinative",0.755854379716082,0.754318493959015,0.695851266678131,-0.058467227280883,"whosoever",0.58974358974359,"anybody",0.0714285714285714,-0.0993627978331302,-0.28717931742724
"anything","anything","determinative","determinative","matrix_clean_seed","non_personal_general","retain","","clear_determinative_anchor",0.346116290259716,0.653883709740284,"determinative",0.692232580519432,0.76998367230435,0.670233252978321,-0.099750419326029,"whose_int",0.625,"anybody",0.323529411764706,-0.163329497897324,-0.213474388746321
"anywhere","anywhere","determinative","determinative","matrix_clean_seed","non_personal_locative","retain","","clear_determinative_anchor",0.33231055863688,0.66768944136312,"determinative",0.66462111727376,0.841147420878916,0.722641301067183,-0.118506119811733,"whose_int",0.717391304347826,"somewhere",0.384615384615385,-0.217588294270456,-0.27634176832419
"both","both","determinative","determinative","matrix_clean_seed","gender_neutral","retain","","clear_determinative_anchor",0.313967262073011,0.686032737926989,"determinative",0.627934524146022,0.797271846020977,0.68029510758972,-0.116976738431257,"his",0.725490196078431,"all",0.425,-0.198678161962911,0.111003472393692
"certain","certain","determinative","determinative","matrix_clean_seed","gender_neutral","retain","","clear_determinative_anchor",0.321696969058451,0.678303030941549,"determinative",0.643393938116901,0.874147485062558,0.734437737464226,-0.139709747598332,"their_plur",0.804347826086957,"several",0.448275862068966,-0.28138044507199,0.272854625614237
"each","each","determinative","determinative","matrix_clean_seed","gender_neutral","retain","","clear_determinative_anchor",0.31181674843432,0.68818325156568,"determinative",0.62363349686864,0.826736000518899,0.680381727650042,-0.146354272868858,"one_pron",0.771428571428571,"either",0.454545454545455,-0.265824833661028,-0.0201854811911299
"either","either","determinative","determinative","matrix_clean_seed","gender_neutral","retain","","clear_determinative_anchor",0.31706192566147,0.68293807433853,"determinative",0.63412385132294,0.802765249408206,0.672676455669639,-0.130088793738566,"who_int",0.704545454545455,"neither",0.206896551724138,-0.233455363418638,-0.129717766129022
"enough","enough","determinative","determinative","matrix_clean_seed","gender_neutral","retain","","clear_determinative_anchor",0.307340886954556,0.692659113045444,"determinative",0.614681773909112,0.771389209563733,0.63620868400193,-0.135180525561803,"mine",0.615384615384615,"more",0.357142857142857,-0.229115961932578,0.13872309402048
"every","every","determinative","determinative","matrix_clean_seed","gender_neutral","retain","","clear_determinative_anchor",0.326205081282177,0.673794918717823,"determinative",0.652410162564354,0.830419997457235,0.71942088651255,-0.110999110944685,"his",0.74,"one_det",0.536585365853659,-0.236048501918311,0.139219957726148
"everybody","everybody","determinative","determinative","matrix_clean_seed","personal_epicene","retain","","clear_determinative_anchor",0.371927502535494,0.628072497464506,"determinative",0.743855005070988,0.722695487033364,0.67959615746865,-0.0430993295647139,"whosoever",0.595238095238095,"everyone",0.0625,-0.0689362542297256,-0.118674953782687
"everyone","everyone","determinative","determinative","matrix_clean_seed","personal_epicene","retain","","clear_determinative_anchor",0.377478205378653,0.622521794621347,"determinative",0.754956410757306,0.720955024892786,0.678333801480309,-0.0426212234124765,"whosoever",0.595238095238095,"everybody",0.0625,-0.0694380059885695,-0.123290334004532
"everything","everything","determinative","determinative","matrix_clean_seed","non_personal_general","retain","","clear_determinative_anchor",0.344453387835449,0.655546612164551,"determinative",0.688906775670898,0.74401842670487,0.65197283628452,-0.0920455904203509,"whosoever",0.627906976744186,"everybody",0.277777777777778,-0.151870653693283,-0.183891655936248
"everywhere","everywhere","determinative","determinative","matrix_clean_seed","non_personal_locative","retain","","clear_determinative_anchor",0.343713929755481,0.656286070244519,"determinative",0.687427859510962,0.803244425240005,0.717409110588347,-0.0858353146516585,"whose_int",0.708333333333333,"everything",0.323529411764706,-0.158993164040955,-0.22452938730433
"few","few","determinative","determinative","matrix_clean_seed","gender_neutral","retain","","clear_determinative_anchor",0.292344174054496,0.707655825945503,"determinative",0.584688348108993,0.81706668961628,0.659717458490021,-0.157349231126259,"his",0.735849056603774,"fewest",0.2,-0.27132951779413,0.154995887543966
"fewer","fewer","determinative","determinative","matrix_clean_seed","gender_neutral","retain","","clear_determinative_anchor",0.283521986849999,0.716478013150001,"determinative",0.567043973699998,0.824340707120399,0.677480116633291,-0.146860590487108,"his",0.745454545454545,"few",0.228571428571429,-0.255262333484268,0.169740306404636
"fewest","fewest","determinative","determinative","matrix_clean_seed","gender_neutral","retain","","clear_determinative_anchor",0.302621241725729,0.697378758274271,"determinative",0.605242483451458,0.850712502915811,0.697677009758711,-0.153035493157101,"its",0.8,"few",0.2,-0.287751303008753,0.15319318271423
"little","little","determinative","determinative","matrix_clean_seed","non_personal_general","retain","","clear_determinative_anchor",0.27011767701955,0.72988232298045,"determinative",0.5402353540391,0.856795017424232,0.682177468740644,-0.174617548683588,"itself",0.795918367346939,"much",0.25,-0.319944448140946,-0.00638475071001384
"less","less","determinative","determinative","reynolds2024_more_less_never_adverbs","gender_neutral_or_contextual","retain","Retained as determinative under the unified analysis of less.","clear_determinative_anchor",0.291085000458092,0.708914999541908,"determinative",0.582170000916184,0.808981399165385,0.665041562285493,-0.143939836879892,"mine",0.736842105263158,"least",0.222222222222222,-0.25757359794006,0.0735614477188525
"least","least","determinative","determinative","matrix_clean_seed","gender_neutral_or_contextual","retain","","clear_determinative_anchor",0.300652216574309,0.69934778342569,"determinative",0.601304433148619,0.832812762491663,0.674729730896761,-0.158083031594902,"whosever",0.775510204081633,"less",0.222222222222222,-0.297226959344536,0.078544342251379
"many","many","determinative","determinative","matrix_clean_seed","gender_neutral","retain","","clear_determinative_anchor",0.295133299467021,0.704866700532979,"determinative",0.590266598934041,0.800420580378708,0.660071497509938,-0.14034908286877,"his",0.714285714285714,"few",0.289473684210526,-0.251698198370875,0.145556851756664
"many_a","many_a","determinative","determinative","matrix_clean_seed","gender_neutral","retain","","clear_determinative_anchor",0.332368568303318,0.667631431696682,"determinative",0.664737136606635,0.867578116259451,0.761685427148793,-0.105892689110658,"whosever",0.780487804878049,"another",0.6,-0.248742932026342,-0.0375461922611267
"more","more","determinative","determinative","reynolds2024_more_less_never_adverbs","gender_neutral_or_contextual","retain","Retained as determinative under the unified analysis of more.","clear_determinative_anchor",0.3023190790584,0.6976809209416,"determinative",0.604638158116801,0.787680117737021,0.641125197046358,-0.146554920690663,"his",0.679245283018868,"most",0.181818181818182,-0.247311747490249,0.131083739637177
"most","most","determinative","determinative","matrix_clean_seed","gender_neutral","retain","","clear_determinative_anchor",0.315794962088306,0.684205037911694,"determinative",0.631589924176613,0.796304574677588,0.634266238765186,-0.162038335912402,"its",0.704545454545455,"more",0.181818181818182,-0.278027381530598,0.12423931300133
"much","much","determinative","determinative","matrix_clean_seed","non_personal_general","retain","","clear_determinative_anchor",0.278163244654999,0.721836755345001,"determinative",0.556326489309998,0.861778340177039,0.695659324421801,-0.166119015755238,"whose_int",0.803571428571429,"little",0.25,-0.310459329860138,0.0222776382882604
"neither","neither","determinative","determinative","matrix_clean_seed","gender_neutral","retain","","clear_determinative_anchor",0.308313054457252,0.691686945542748,"determinative",0.616626108914503,0.816973547942109,0.661218448363328,-0.155755099578781,"itself",0.761904761904762,"either",0.206896551724138,-0.273671904964279,-0.158863212278423
"last","last","determinative","determinative","matrix_clean_seed","gender_neutral","retain","","clear_determinative_anchor",0.36342754169479,0.63657245830521,"determinative",0.726855083389579,0.882427516643163,0.805931375798797,-0.0764961408443658,"my",0.80952380952381,"next",0,-0.130102314944096,0.113359677778429
"next","next","determinative","determinative","matrix_clean_seed","gender_neutral","retain","","clear_determinative_anchor",0.36342754169479,0.63657245830521,"determinative",0.726855083389579,0.882427516643163,0.805931375798797,-0.0764961408443658,"my",0.80952380952381,"last",0,-0.130102314944096,0.113359677778429
